513.18906	1
513.34778	1
513.50649	-1
513.66518	1
513.82386	0
513.98252	3
514.14117	1
514.29981	0
514.45842	0
514.61703	3
514.77562	2
514.93419	3
515.09276	2
515.2513	3
515.40983	3
515.56835	4
515.72685	2
515.88534	2
516.04381	1
516.20226	0
516.36071	3
516.51913	2
516.67754	1
516.83594	0
516.99432	1
517.15269	0
517.31104	0
517.46938	1
517.6277	2
517.78601	0
517.9443	2
518.10258	0
518.26084	-1
518.41908	2
518.57732	1
518.73553	1
518.89373	0
519.05192	2
519.21009	1
519.36824	2
519.52638	2
519.68451	3
519.84262	0
520.00071	0
520.15879	0
520.31685	1
520.4749	1
520.63293	1
520.79095	1
520.94895	2
521.10694	1
521.26491	2
521.42286	2
521.5808	2
521.73873	1
521.89664	2
522.05453	2
522.21241	2
522.37027	2
522.52811	2
522.68594	2
522.84376	1
523.00156	2
523.15934	3
523.31711	-1
523.47486	3
523.6326	1
523.79032	0
523.94802	2
524.10571	0
524.26338	2
524.42104	1
524.57868	3
524.73631	2
524.89391	2
525.05151	2
525.20908	3
525.36665	2
525.52419	2
525.68172	1
525.83923	1
525.99673	0
526.15421	1
526.31168	2
526.46913	1
526.62656	2
526.78397	2
526.94137	3
527.09876	3
527.25613	3
527.41348	0
527.57081	3
527.72813	2
527.88544	1
528.04272	2
528.19999	1
528.35725	1
528.51448	0
528.67171	2
528.82891	1
528.9861	-2
529.14327	2
529.30043	1
529.45756	1
529.61469	3
529.77179	-1
529.92888	0
530.08596	1
530.24301	0
530.40005	1
530.55707	2
530.71408	1
530.87107	0
531.02804	3
531.185	3
531.34194	1
531.49886	2
531.65577	2
531.81266	1
531.96953	1
532.12639	2
532.28323	0
532.44005	-2
532.59685	1
532.75364	0
532.91041	1
533.06717	1
533.2239	0
533.38063	1
533.53733	3
533.69402	0
533.85069	2
534.00734	3
534.16397	0
534.32059	0
534.47719	2
534.63378	3
534.79035	2
534.9469	0
535.10343	0
535.25994	2
535.41644	2
535.57292	1
535.72939	2
535.88583	3
536.04226	1
536.19868	1
536.35507	-1
536.51145	2
536.66781	2
536.82415	-1
536.98048	4
537.13678	1
537.29308	3
537.44935	2
537.6056	1
537.76184	4
537.91806	3
538.07427	3
538.23045	2
538.38662	1
538.54277	1
538.6989	3
538.85502	2
