# Dispersion, Druck 7.3 mm
#
# Wellenlänge [cm],	Frequenz [kHz]
4.8,	      		50
1.3,			200
0.85,			300
0.62,			400
0.5,			500
0.42,			600
0.36,			700
0.32,			800
0.28,			900
0.26,			1000
0.22,			1100
0.20,			1200
